Rating,Number of Reviews,Installs,Size,Year,Month,Day,Minimum Version,Latest Version,Content Rating: Everyone,Content Rating: Teen,Content Rating: Everyone 10+,Content Rating: Mature 17+,Costs Money
4.686744213,4383,50000,1700000.0,2014,6,27,1.5,1.9,1,0,0,0,1
3.927140236,4392,50000,33000000.0,2019,2,4,4.1,3.0,1,0,0,0,1
4.642784119,3908,100000,37000000.0,2017,5,10,2.3,1.0,1,0,0,0,0
4.532416344,5090,10000,38000000.0,2014,12,24,2.2,3.1,1,0,0,0,1
4.542612076,61731,500000,22455984.2626,2019,3,29,4.05466738559,4.05466738559,1,0,0,0,1
4.42562294,235974,1000000,27000000.0,2018,9,17,2.3,1.2,0,0,0,1,1
4.568913937,27723,100000,23000000.0,2017,2,26,2.3,2.5,1,0,0,0,1
4.170438766,5832,100000,22455984.2626,2018,2,17,4.05466738559,4.05466738559,1,0,0,0,1
4.628653526,41126,1000000,47000000.0,2019,4,2,4.0,1.1,0,0,1,0,0
4.378212452,358793,10000000,16000000.0,2015,8,26,3.0,1.6,0,1,0,0,0
4.545474052,25449254,100000000,81000000.0,2019,2,13,4.1,2.6,0,0,1,0,0
4.66680479,9637,50000,43000000.0,2018,10,8,3.0,2.0,0,0,1,0,1
4.475634098,22860,100000,19000000.0,2018,12,5,2.3,1.1,1,0,0,0,1
4.781957626,89455,500000,29000000.0,2018,2,7,4.0,3.0,0,1,0,0,1
4.262439251,6813,100000,22455984.2626,2019,3,11,4.0,1.2,1,0,0,0,1
4.737150669,115218,500000,9400000.0,2018,9,14,4.2,3.0,0,1,0,0,1
4.498068333,177315,5000000,49000000.0,2018,6,17,4.0,2.1,1,0,0,0,0
4.502971172,2356,10000,45000000.0,2018,5,16,4.0,1.7,1,0,0,0,1
4.153367996,2895,50000,52000000.0,2016,2,4,4.0,2.2,1,0,0,0,0
4.187474728,14770,100000,22455984.2626,2016,9,12,2.3,3.2,0,1,0,0,1
4.580358982,31210,100000,53000000.0,2019,3,15,4.0,1.3,1,0,0,0,1
4.547766685,3224,50000,11000000.0,2019,3,1,4.0,1.6,1,0,0,0,1
4.226002216,3792,10000,55000000.0,2017,5,10,4.0,1.3,1,0,0,0,1
4.767216206,209701,1000000,27000000.0,2017,12,14,4.1,2.5,1,0,0,0,1
4.340128899,932,10000,27000000.0,2013,9,26,2.2,1.5,1,0,0,0,1
